category,city,annual_pct
All groups,Sydney,4.2
Food & non-alcoholic beverages,Sydney,2.9
Alcohol & tobacco,Sydney,3.5
Clothing & footwear,Sydney,6.6
Housing,Sydney,6.4
"Furnishings, household equipment and services",Sydney,1.0
Health,Sydney,4.4
Transport,Sydney,6.9
Communication,Sydney,1.6
Recreation & culture,Sydney,2.0
Education,Sydney,4.7
Insurance & financial services,Sydney,3.3
All groups,Melbourne,3.9
Food & non-alcoholic beverages,Melbourne,2.8
Alcohol & tobacco,Melbourne,4.3
Clothing & footwear,Melbourne,5.8
Housing,Melbourne,6.0
"Furnishings, household equipment and services",Melbourne,1.1
Health,Melbourne,3.9
Transport,Melbourne,3.5
Communication,Melbourne,1.5
Recreation & culture,Melbourne,3.2
Education,Melbourne,4.8
Insurance & financial services,Melbourne,3.6
All groups,Brisbane,4.6
Food & non-alcoholic beverages,Brisbane,2.6
Alcohol & tobacco,Brisbane,4.4
Clothing & footwear,Brisbane,6.5
Housing,Brisbane,6.6
"Furnishings, household equipment and services",Brisbane,1.9
Health,Brisbane,3.6
Transport,Brisbane,9.3
Communication,Brisbane,1.4
Recreation & culture,Brisbane,2.9
Education,Brisbane,4.8
Insurance & financial services,Brisbane,2.1
All groups,Adelaide,4.6
Food & non-alcoholic beverages,Adelaide,2.3
Alcohol & tobacco,Adelaide,5.3
Clothing & footwear,Adelaide,4.9
Housing,Adelaide,7.0
"Furnishings, household equipment and services",Adelaide,1.4
Health,Adelaide,4.1
Transport,Adelaide,8.3
Communication,Adelaide,1.5
Recreation & culture,Adelaide,2.9
Education,Adelaide,4.2
Insurance & financial services,Adelaide,4.1
All groups,Perth,3.9
Food & non-alcoholic beverages,Perth,2.7
Alcohol & tobacco,Perth,4.8
Clothing & footwear,Perth,4.6
Housing,Perth,5.5
"Furnishings, household equipment and services",Perth,1.2
Health,Perth,3.5
Transport,Perth,8.8
Communication,Perth,1.4
Recreation & culture,Perth,1.6
Education,Perth,5.3
Insurance & financial services,Perth,0.7
All groups,Hobart,5.0
Food & non-alcoholic beverages,Hobart,4.1
Alcohol & tobacco,Hobart,7.5
Clothing & footwear,Hobart,4.4
Housing,Hobart,7.9
"Furnishings, household equipment and services",Hobart,1.8
Health,Hobart,3.4
Transport,Hobart,7.9
Communication,Hobart,1.5
Recreation & culture,Hobart,2.3
Education,Hobart,3.8
Insurance & financial services,Hobart,4.4
All groups,Darwin,4.2
Food & non-alcoholic beverages,Darwin,2.9
Alcohol & tobacco,Darwin,4.0
Clothing & footwear,Darwin,3.3
Housing,Darwin,5.6
"Furnishings, household equipment and services",Darwin,1.2
Health,Darwin,2.7
Transport,Darwin,9.8
Communication,Darwin,1.6
Recreation & culture,Darwin,3.1
Education,Darwin,3.4
Insurance & financial services,Darwin,3.3
All groups,Canberra,4.0
Food & non-alcoholic beverages,Canberra,2.5
Alcohol & tobacco,Canberra,4.9
Clothing & footwear,Canberra,4.5
Housing,Canberra,5.2
"Furnishings, household equipment and services",Canberra,2.1
Health,Canberra,3.6
Transport,Canberra,7.7
Communication,Canberra,1.9
Recreation & culture,Canberra,1.9
Education,Canberra,5.9
Insurance & financial services,Canberra,1.9
All groups,Weighted average of eight capital cities,4.2
Food & non-alcoholic beverages,Weighted average of eight capital cities,2.8
Alcohol & tobacco,Weighted average of eight capital cities,4.3
Clothing & footwear,Weighted average of eight capital cities,5.9
Housing,Weighted average of eight capital cities,6.3
"Furnishings, household equipment and services",Weighted average of eight capital cities,1.2
Health,Weighted average of eight capital cities,4.0
Transport,Weighted average of eight capital cities,6.6
Communication,Weighted average of eight capital cities,1.5
Recreation & culture,Weighted average of eight capital cities,2.5
Education,Weighted average of eight capital cities,4.8
Insurance & financial services,Weighted average of eight capital cities,3.0
